"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"PURCHASE-URL";"SPICEPREFIX";"VALUE";
"2";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED_PC, LED_SERVO";"LED";"";"";"";"";"";"";"";"";"52";"";"";"";"";"";
"37";" ";"RESISTOR0805";"0805";"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";" ";"";"";" ";
"1";"100uF";"CPOL-EU153CLV-1010";"153CLV-1010";"C5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"0";"";"";"";"C";"";
"5";"10K";"R-US_M0805";"M0805";"R38, R39, R40, R41, R43";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"45";"";"";"";"R";"";
"2";"1808_FUSE_HOLDER";"1808_FUSE_HOLDER";"1808_FUSE_HOLDER";"U$3, U$4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1K";"R-EU_R1206";"R1206";"R46";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"41";"";"";"";"R";"";
"2";"200mA/40V";"TRANS_PNP-PMBT3906|MMBT3906L";"SOT23-3";"Q10, Q11";"PNP transistor";"";"";"";"";"";"";"";"";"";"";"TRANS-08052";"";"";"200mA/40V";
"4";"22-03-5035";"22-03-5035";"5267-3";"J1, J2, J3, J4";"Molex SPOX Vert, Tin (Dynamixel AX/MX Bus)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"22-03-5045";"22-03-5045";"5267-4";"J5, J6, J7, J8";"Molex SPOX Vert, Tin (Dynamixel RX Bus)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"22-23-2021";"22-23-2021";"22-23-2021";"X8";".100" (2.54mm) Center Header - 2 Pin";"";"";"MOLEX";"";"22-23-2021";"1462926";"25C3832";"";"40";"";"";"";"";"";
"1";"22-23-2041";"22-23-2041";"22-23-2041";"X1";".100" (2.54mm) Center Header - 4 Pin";"";"";"MOLEX";"";"22-23-2041";"1462920";"38C0355";"";"21";"";"";"";"";"";
"1";"22-23-2071";"22-23-2071";"22-23-2071";"X2";".100" (2.54mm) Center Header - 7 Pin";"";"";"MOLEX";"";"22-23-2071";"1654534";"56H0445";"";"1";"";"";"";"";"";
"1";"220uF";"CPOL-EUUD-6,3X8,8";"UD-6,3X5,8_NICHICON";"C6";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"0";"";"";"";"C";"";
"2";"2K";"R-US_M0805";"M0805";"R42, R44";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"45";"";"";"";"R";"";
"1";"33uH";"CDRH127/LDNP-470MC";"IND_CDRH127/LDNP-470MC_SUM";"L1";"Check availability";"In Stock";" 47 µH Shielded - Inductor 3.25 A 78mOhm Max Nonstandard ";"Sumida America";"CDRH127/LDNP-470MC";"";"";"";"Nonstandard Sumida";"";"None";"";"https://pricing.snapeda.com/search/part/CDRH127/LDNP-470MC/?ref=eda";"";"";
"1";"3K";"R-EU_R1206";"R1206";"R45";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"41";"";"";"";"R";"";
"1";"600mA/40V";"TRANS_NPN-MMBT2222AL";"SOT23-3";"Q1";"NPN transistor";"";"";"";"";"";"";"";"";"";"";"TRANS-08049";"";"";"600mA/40V";
"5";"ADM3078E";"ADM3078E";"ADM3078E";"IC1, IC2, IC3, IC4, IC5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"BNO055";"BNO055";"BNO055";"U$2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"BOB-12009";"BOB-12009";"CONV_BOB-12009";"U2";"Logic Level Converter - Bi-Direc Check availability";"In Stock";" BSS138 Logic-Level Translator Interface Evaluation Board ";"SparkFun";"BOB-12009";"";"";"";"None";"";"None";"";"https://pricing.snapeda.com/search/part/BOB-12009/?ref=eda";"";"";
"1";"ESP32DEVKITV1";"ESP32DEVKITV1";"ESP32-DEVKITV1";"U$1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"FT4232H_MINI_MODULE";"FT4232H_MINI_MODULE";"FT4232H_MINI_MODULE";"M1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LM2596S";"LM2596S";"TO263-5";"IC6";"SIMPLE SWITCHER® Power Converter 150 kHz 3A Step-Down Voltage Regulator";"";"";"NATIONAL SEMICONDUCTOR";"";"LM2596S-ADJ/NOPB";"9494367";"41K3842";"";"12";"";"";"";"";"";
"4";"SQM40P10-40L_GE3";"SQM40P10-40L_GE3";"TO-252-3";"Q7, Q8, Q9, Q12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"SS34";"SS34";"DIOM6859X262N";"D1";"Check availability";"In Stock";" 3A, 40V, Schottky Rectifier ";"Taiwan Semiconductor";"SS34";"";"";"";"SMC-2 Taiwan Semiconductor";"";"None";"";"https://pricing.snapeda.com/search/part/SS34/?ref=eda";"";"";
"4";"XT60PW-M";"XT60PW-M";"XT60PW-M";"BATT_3, BATT_4, BATT_CM1, PC1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
